 ******* Program HYDRUS
 ******* 
 Replicate Fairfield dual perm model using runhydrus, add artificial KBr 
 Date:  31. 3.2026    Time:  18: 9:31
 Units: L = cm   , T = days , M = mmol 


 Time:     0.000000

 Node    Depth    Head   Moisture   HeadF  MoistureF      Flux       FluxF      Sink       Transf       TranS       Temp          ConcF       Conc(1...NS)
          [L]      [L]     [-]       [L]       [-]       [L/T]       [L/T]       [-]        [1/T]     [M/L3/T]        [C]         [M/L3]      [M/L3]
  32   -54.25    -150.00 0.2708     -150.00 0.002707  -0.213E-01  -0.741E-04 0.00000     0.000E+00   0.000E+00      20.000     0.000E+00   0.000E+00   0.000E+00   0.000E+00
  33   -56.00    -150.00 0.2708     -150.00 0.002707  -0.213E-01  -0.741E-04 0.00000     0.000E+00   0.000E+00      20.000     0.000E+00   0.000E+00   0.000E+00   0.000E+00
  34   -57.75    -150.00 0.2708     -150.00 0.002707  -0.213E-01  -0.741E-04 0.00000     0.000E+00   0.000E+00      20.000     0.000E+00   0.000E+00   0.000E+00   0.000E+00
  35   -59.50    -150.00 0.2708     -150.00 0.002707  -0.213E-01  -0.741E-04 0.00000     0.000E+00   0.000E+00      20.000     0.000E+00   0.000E+00   0.000E+00   0.000E+00
  36   -61.25    -150.00 0.2708     -150.00 0.002707  -0.213E-01  -0.741E-04 0.00000     0.000E+00   0.000E+00      20.000     0.000E+00   0.000E+00   0.000E+00   0.000E+00
  37   -63.00    -150.00 0.2708     -150.00 0.002707  -0.213E-01  -0.741E-04 0.00000     0.000E+00   0.000E+00      20.000     0.000E+00   0.000E+00   0.000E+00   0.000E+00
  38   -64.75    -150.00 0.2708     -150.00 0.002707  -0.213E-01  -0.741E-04 0.00000     0.000E+00   0.000E+00      20.000     0.000E+00   0.000E+00   0.000E+00   0.000E+00
  39   -66.50    -150.00 0.2708     -150.00 0.002707  -0.213E-01  -0.741E-04 0.00000     0.000E+00   0.000E+00      20.000     0.000E+00   0.000E+00   0.000E+00   0.000E+00
  40   -68.25    -150.00 0.2708     -150.00 0.002707  -0.213E-01  -0.741E-04 0.00000     0.000E+00   0.000E+00      20.000     0.000E+00   0.000E+00   0.000E+00   0.000E+00
  41   -70.00    -150.00 0.2708     -150.00 0.002707  -0.213E-01  -0.741E-04 0.00000     0.000E+00   0.000E+00      20.000     0.000E+00   0.000E+00   0.000E+00   0.000E+00
  42   -71.75    -150.00 0.2708     -150.00 0.002707  -0.213E-01  -0.741E-04 0.00000     0.000E+00   0.000E+00      20.000     0.000E+00   0.000E+00   0.000E+00   0.000E+00
  43   -73.50    -150.00 0.2708     -150.00 0.002707  -0.213E-01  -0.741E-04 0.00000     0.000E+00   0.000E+00      20.000     0.000E+00   0.000E+00   0.000E+00   0.000E+00
  44   -75.25    -150.00 0.2708     -150.00 0.002707  -0.213E-01  -0.741E-04 0.00000     0.000E+00   0.000E+00      20.000     0.000E+00   0.000E+00   0.000E+00   0.000E+00
  45   -77.00    -150.00 0.2708     -150.00 0.002707  -0.213E-01  -0.741E-04 0.00000     0.000E+00   0.000E+00      20.000     0.000E+00   0.000E+00   0.000E+00   0.000E+00
  46   -78.75    -150.00 0.2708     -150.00 0.002707  -0.213E-01  -0.741E-04 0.00000     0.000E+00   0.000E+00      20.000     0.000E+00   0.000E+00   0.000E+00   0.000E+00
  47   -80.50    -150.00 0.2708     -150.00 0.002707  -0.213E-01  -0.741E-04 0.00000     0.000E+00   0.000E+00      20.000     0.000E+00   0.000E+00   0.000E+00   0.000E+00
  48   -82.25    -150.00 0.2708     -150.00 0.002707  -0.213E-01  -0.741E-04 0.00000     0.000E+00   0.000E+00      20.000     0.000E+00   0.000E+00   0.000E+00   0.000E+00
  49   -84.00    -150.00 0.2708     -150.00 0.002707  -0.213E-01  -0.741E-04 0.00000     0.000E+00   0.000E+00      20.000     0.000E+00   0.000E+00   0.000E+00   0.000E+00
  50   -85.75    -150.00 0.2708     -150.00 0.002707  -0.213E-01  -0.741E-04 0.00000     0.000E+00   0.000E+00      20.000     0.000E+00   0.000E+00   0.000E+00   0.000E+00
  51   -87.50    -150.00 0.2708     -150.00 0.002707  -0.213E-01  -0.741E-04 0.00000     0.000E+00   0.000E+00      20.000     0.000E+00   0.000E+00   0.000E+00   0.000E+00
  52   -89.25    -150.00 0.2708     -150.00 0.002707  -0.213E-01  -0.741E-04 0.00000     0.000E+00   0.000E+00      20.000     0.000E+00   0.000E+00   0.000E+00   0.000E+00
  53   -91.00    -150.00 0.2708     -150.00 0.002707  -0.213E-01  -0.741E-04 0.00000     0.000E+00   0.000E+00      20.000     0.000E+00   0.000E+00   0.000E+00   0.000E+00
  54   -92.75    -150.00 0.2708     -150.00 0.002707  -0.213E-01  -0.741E-04 0.00000     0.000E+00   0.000E+00      20.000     0.000E+00   0.000E+00   0.000E+00   0.000E+00
  55   -94.50    -150.00 0.2708     -150.00 0.002707  -0.213E-01  -0.741E-04 0.00000     0.000E+00   0.000E+00      20.000     0.000E+00   0.000E+00   0.000E+00   0.000E+00
  56   -96.25    -150.00 0.2708     -150.00 0.002707  -0.213E-01  -0.741E-04 0.00000     0.000E+00   0.000E+00      20.000     0.000E+00   0.000E+00   0.000E+00   0.000E+00
