

   Time         sum(rTop)     sum(rRoot)    sum(vTop)     sum(vRoot)     sum(vBot)    hTop       hRoot      hBot      A-level
    [T]           [L]           [L]           [L]           [L]            [L]        [L]         [L]       [L] 

   365.00000 -0.322879E+02  0.351223E+02 -0.341487E+02  0.324644E+02 -0.512249E+01   -770.779      0.000   -127.392     365
   366.00000 -0.322767E+02  0.351223E+02 -0.341375E+02  0.324644E+02 -0.512750E+01   -878.472      0.000   -127.567     366
   367.00000 -0.322464E+02  0.351223E+02 -0.341072E+02  0.324644E+02 -0.513247E+01  -1400.968      0.000   -127.742     367
   368.00000 -0.322214E+02  0.351223E+02 -0.340822E+02  0.324644E+02 -0.513742E+01  -1870.091      0.000   -127.917     368
   369.00000 -0.322195E+02  0.351223E+02 -0.340803E+02  0.324644E+02 -0.514234E+01  -1372.723      0.000   -128.093     369
   370.00000 -0.322181E+02  0.351223E+02 -0.340789E+02  0.324644E+02 -0.514724E+01  -1220.191      0.000   -128.268     370
   371.00000 -0.324664E+02  0.351223E+02 -0.343272E+02  0.324644E+02 -0.515211E+01   -136.504      0.000   -128.444     371
   372.00000 -0.324436E+02  0.351223E+02 -0.343044E+02  0.324644E+02 -0.515696E+01   -287.953      0.000   -128.620     372
   373.00000 -0.324403E+02  0.351223E+02 -0.343011E+02  0.324644E+02 -0.516178E+01   -308.090      0.000   -128.796     373
   374.00000 -0.324102E+02  0.351223E+02 -0.342710E+02  0.324644E+02 -0.516657E+01   -434.626      0.000   -128.972     374
   375.00000 -0.323681E+02  0.351223E+02 -0.342289E+02  0.324644E+02 -0.517132E+01   -651.391      0.000   -129.148     375
   376.00000 -0.323254E+02  0.351223E+02 -0.341862E+02  0.324644E+02 -0.517605E+01   -967.634      0.000   -129.323     376
   377.00000 -0.322820E+02  0.351223E+02 -0.341428E+02  0.324644E+02 -0.518074E+01  -1452.761      0.000   -129.499     377
   378.00000 -0.322409E+02  0.351223E+02 -0.341017E+02  0.324644E+02 -0.518541E+01  -2098.457      0.000   -129.675     378
   379.00000 -0.322296E+02  0.351223E+02 -0.340904E+02  0.324644E+02 -0.519005E+01  -1653.665      0.000   -129.850     379
   380.00000 -0.321806E+02  0.351223E+02 -0.340414E+02  0.324644E+02 -0.519466E+01  -3466.687      0.000   -130.026     380
   381.00000 -0.321491E+02  0.351223E+02 -0.340099E+02  0.324644E+02 -0.519925E+01  -4309.181      0.000   -130.201     381
   382.00000 -0.321043E+02  0.351223E+02 -0.339651E+02  0.324644E+02 -0.520380E+01  -8344.692      0.000   -130.376     382
   383.00000 -0.322779E+02  0.351223E+02 -0.341386E+02  0.324644E+02 -0.520834E+01   -234.902      0.000   -130.551     383
   384.00000 -0.322751E+02  0.351223E+02 -0.341358E+02  0.324644E+02 -0.521285E+01   -397.201      0.000   -130.726     384
   385.00000 -0.322491E+02  0.351223E+02 -0.341098E+02  0.324644E+02 -0.521733E+01   -609.510      0.000   -130.901     385
   386.00000 -0.322369E+02  0.351223E+02 -0.340977E+02  0.324644E+02 -0.522179E+01   -657.002      0.000   -131.075     386
   387.00000 -0.322006E+02  0.351223E+02 -0.340614E+02  0.324644E+02 -0.522620E+01  -1062.680      0.000   -131.249     387
   388.00000 -0.321607E+02  0.351223E+02 -0.340215E+02  0.324644E+02 -0.523059E+01  -1755.706      0.000   -131.423     388
   389.00000 -0.323547E+02  0.351223E+02 -0.342155E+02  0.324644E+02 -0.523496E+01   -166.105      0.000   -131.597     389
   390.00000 -0.323383E+02  0.351223E+02 -0.341991E+02  0.324644E+02 -0.523931E+01   -311.824      0.000   -131.771     390
   391.00000 -0.323215E+02  0.351223E+02 -0.341823E+02  0.324644E+02 -0.524362E+01   -385.173      0.000   -131.944     391
   392.00000 -0.322997E+02  0.351223E+02 -0.341605E+02  0.324644E+02 -0.524790E+01   -472.069      0.000   -132.116     392
   393.00000 -0.322311E+02  0.351223E+02 -0.340919E+02  0.324644E+02 -0.525215E+01  -1128.320      0.000   -132.289     393
   394.00000 -0.321792E+02  0.351223E+02 -0.340400E+02  0.324644E+02 -0.525638E+01  -1899.021      0.000   -132.461     394
   395.00000 -0.321081E+02  0.351223E+02 -0.339689E+02  0.324644E+02 -0.526057E+01  -5107.853      0.000   -132.632     395
   396.00000 -0.322367E+02  0.351223E+02 -0.340975E+02  0.324644E+02 -0.526475E+01   -269.633      0.000   -132.804     396
   397.00000 -0.322323E+02  0.351223E+02 -0.340931E+02  0.324644E+02 -0.526890E+01   -416.419      0.000   -132.975     397
   398.00000 -0.322293E+02  0.351223E+02 -0.340901E+02  0.324644E+02 -0.527302E+01   -452.319      0.000   -133.145     398
   399.00000 -0.322179E+02  0.351223E+02 -0.340787E+02  0.324644E+02 -0.527712E+01   -520.503      0.000   -133.315     399
   400.00000 -0.321886E+02  0.351223E+02 -0.340494E+02  0.324644E+02 -0.528117E+01   -741.688      0.000   -133.485     400
   401.00000 -0.321649E+02  0.351223E+02 -0.340257E+02  0.324644E+02 -0.528521E+01   -892.582      0.000   -133.654     401
   402.00000 -0.321343E+02  0.351223E+02 -0.339951E+02  0.324644E+02 -0.528921E+01  -1239.440      0.000   -133.822     402
   403.00000 -0.320619E+02  0.351223E+02 -0.339227E+02  0.324644E+02 -0.529319E+01  -4098.436      0.000   -133.990     403
   404.00000 -0.320236E+02  0.351223E+02 -0.338844E+02  0.324644E+02 -0.529714E+01  -5449.193      0.000   -134.158     404
   405.00000 -0.319885E+02  0.351223E+02 -0.338493E+02  0.324644E+02 -0.530106E+01  -7499.430      0.000   -134.325     405
   406.00000 -0.319455E+02  0.351223E+02 -0.338063E+02  0.324644E+02 -0.530496E+01 -14146.894      0.000   -134.491     406
   407.00000 -0.321154E+02  0.351223E+02 -0.339762E+02  0.324644E+02 -0.530884E+01   -261.639      0.000   -134.658     407
   408.00000 -0.320945E+02  0.351223E+02 -0.339553E+02  0.324644E+02 -0.531270E+01   -557.649      0.000   -134.823     408
   409.00000 -0.320643E+02  0.351223E+02 -0.339251E+02  0.324644E+02 -0.531652E+01   -932.346      0.000   -134.988     409
   410.00000 -0.321893E+02  0.351223E+02 -0.340501E+02  0.324644E+02 -0.532033E+01   -211.716      0.000   -135.153     410
   411.00000 -0.324793E+02  0.351223E+02 -0.343401E+02  0.324644E+02 -0.532410E+01    -91.920      0.000   -135.317     411
   412.00000 -0.324687E+02  0.351223E+02 -0.343295E+02  0.324644E+02 -0.532785E+01   -177.129      0.000   -135.480     412
   413.00000 -0.324373E+02  0.351223E+02 -0.342981E+02  0.324644E+02 -0.533158E+01   -242.633      0.000   -135.643     413
   414.00000 -0.324198E+02  0.351223E+02 -0.342806E+02  0.324644E+02 -0.533527E+01   -268.528      0.000   -135.805     414
   415.00000 -0.323671E+02  0.351223E+02 -0.342279E+02  0.324644E+02 -0.533893E+01   -410.143      0.000   -135.966     415
   416.00000 -0.323567E+02  0.351223E+02 -0.342175E+02  0.324644E+02 -0.534257E+01   -372.230      0.000   -136.127     416
   417.00000 -0.323513E+02  0.351223E+02 -0.342121E+02  0.324644E+02 -0.534618E+01   -353.170      0.000   -136.287     417
   418.00000 -0.323472E+02  0.351223E+02 -0.342080E+02  0.324644E+02 -0.534976E+01   -345.375      0.000   -136.447     418
   419.00000 -0.323421E+02  0.351223E+02 -0.342029E+02  0.324644E+02 -0.535332E+01   -348.283      0.000   -136.606     419
   420.00000 -0.323327E+02  0.351223E+02 -0.341935E+02  0.324644E+02 -0.535685E+01   -367.140      0.000   -136.764     420
   421.00000 -0.323129E+02  0.351223E+02 -0.341737E+02  0.324644E+02 -0.536036E+01   -425.989      0.000   -136.922     421
   422.00000 -0.322764E+02  0.351223E+02 -0.341372E+02  0.324644E+02 -0.536384E+01   -591.244      0.000   -137.078     422
   423.00000 -0.322203E+02  0.351223E+02 -0.340811E+02  0.324644E+02 -0.536730E+01  -1074.468      0.000   -137.235     423
   424.00000 -0.321731E+02  0.351223E+02 -0.340339E+02  0.324644E+02 -0.537074E+01  -1593.135      0.000   -137.390     424
   425.00000 -0.321217E+02  0.351223E+02 -0.339825E+02  0.324644E+02 -0.537415E+01  -2680.001      0.000   -137.545     425
   426.00000 -0.320979E+02  0.351223E+02 -0.339587E+02  0.324644E+02 -0.537753E+01  -2515.896      0.000   -137.700     426
   427.00000 -0.320847E+02  0.351223E+02 -0.339455E+02  0.324644E+02 -0.538089E+01  -2088.481      0.000   -137.853     427
   428.00000 -0.320698E+02  0.351223E+02 -0.339306E+02  0.324644E+02 -0.538422E+01  -1998.442      0.000   -138.006     428
   429.00000 -0.320583E+02  0.351223E+02 -0.339191E+02  0.324644E+02 -0.538753E+01  -1826.991      0.000   -138.158     429
   430.00000 -0.320453E+02  0.351223E+02 -0.339061E+02  0.324644E+02 -0.539082E+01  -1804.114      0.000   -138.310     430
   431.00000 -0.320160E+02  0.351223E+02 -0.338768E+02  0.324644E+02 -0.539408E+01  -2615.930      0.000   -138.461     431
   432.00000 -0.320070E+02  0.351223E+02 -0.338678E+02  0.324644E+02 -0.539732E+01  -2174.354      0.000   -138.611     432
   433.00000 -0.319977E+02  0.351223E+02 -0.338585E+02  0.324644E+02 -0.540054E+01  -1972.680      0.000   -138.760     433
   434.00000 -0.319766E+02  0.351223E+02 -0.338374E+02  0.324644E+02 -0.540373E+01  -2472.268      0.000   -138.909     434
   435.00000 -0.319491E+02  0.351223E+02 -0.338099E+02  0.324644E+02 -0.540689E+01  -3582.536      0.000   -139.057     435
   436.00000 -0.319016E+02  0.351223E+02 -0.337624E+02  0.324644E+02 -0.541004E+01  -8542.100      0.000   -139.204     436
   437.00000 -0.321790E+02  0.351223E+02 -0.340398E+02  0.324644E+02 -0.541317E+01   -148.484      0.000   -139.351     437
   438.00000 -0.321208E+02  0.351223E+02 -0.339816E+02  0.324644E+02 -0.541627E+01   -484.897      0.000   -139.498     438
   439.00000 -0.320568E+02  0.351223E+02 -0.339176E+02  0.324644E+02 -0.541935E+01  -1102.302      0.000   -139.643     439
   440.00000 -0.320160E+02  0.351223E+02 -0.338768E+02  0.324644E+02 -0.542241E+01  -1523.189      0.000   -139.788     440
   441.00000 -0.319618E+02  0.351223E+02 -0.338226E+02  0.324644E+02 -0.542543E+01  -3002.511      0.000   -139.931     441
   442.00000 -0.319109E+02  0.351223E+02 -0.337717E+02  0.324644E+02 -0.542844E+01  -5767.581      0.000   -140.074     442
   443.00000 -0.318472E+02  0.351223E+02 -0.337080E+02  0.324644E+02 -0.543142E+01 -16915.512      0.000   -140.217     443
   444.00000 -0.318064E+02  0.351223E+02 -0.336672E+02  0.324644E+02 -0.543438E+01 -24114.508      0.000   -140.358     444
   445.00000 -0.317657E+02  0.351223E+02 -0.336265E+02  0.324644E+02 -0.543731E+01 -42796.168      0.000   -140.499     445
   446.00000 -0.317161E+02  0.351223E+02 -0.335813E+02  0.324644E+02 -0.544023E+01-100000.000      0.000   -140.639     446
   447.00000 -0.316409E+02  0.351223E+02 -0.335533E+02  0.324644E+02 -0.544312E+01-100000.000      0.000   -140.778     447
   448.00000 -0.316029E+02  0.351223E+02 -0.335307E+02  0.324644E+02 -0.544599E+01-100000.000      0.000   -140.917     448
   449.00000 -0.315689E+02  0.351223E+02 -0.335112E+02  0.324644E+02 -0.544884E+01-100000.000      0.000   -141.054     449
   450.00000 -0.315343E+02  0.351223E+02 -0.334931E+02  0.324644E+02 -0.545167E+01-100000.000      0.000   -141.191     450
   451.00000 -0.314793E+02  0.351223E+02 -0.334759E+02  0.324644E+02 -0.545447E+01-100000.000      0.000   -141.327     451
   452.00000 -0.317533E+02  0.351223E+02 -0.337499E+02  0.324644E+02 -0.545726E+01   -206.045      0.000   -141.463     452
   453.00000 -0.317256E+02  0.351223E+02 -0.337222E+02  0.324644E+02 -0.546003E+01   -536.308      0.000   -141.597     453
   454.00000 -0.316754E+02  0.351223E+02 -0.336720E+02  0.324644E+02 -0.546278E+01  -1372.202      0.000   -141.731     454
   455.00000 -0.316313E+02  0.351223E+02 -0.336279E+02  0.324644E+02 -0.546550E+01  -2788.745      0.000   -141.864     455
   456.00000 -0.315920E+02  0.351223E+02 -0.335886E+02  0.324644E+02 -0.546819E+01  -4938.168      0.000   -141.996     456
   457.00000 -0.315423E+02  0.351223E+02 -0.335389E+02  0.324644E+02 -0.547087E+01 -12488.255      0.000   -142.127     457
   458.00000 -0.314795E+02  0.351223E+02 -0.334761E+02  0.324644E+02 -0.547353E+01 -56151.082      0.000   -142.258     458
   459.00000 -0.314133E+02  0.351223E+02 -0.334344E+02  0.324644E+02 -0.547616E+01-100000.000      0.000   -142.387     459
   460.00000 -0.313525E+02  0.351223E+02 -0.334086E+02  0.324644E+02 -0.547878E+01-100000.000      0.000   -142.516     460
   461.00000 -0.312949E+02  0.351223E+02 -0.333887E+02  0.324644E+02 -0.548137E+01-100000.000      0.000   -142.644     461
   462.00000 -0.312374E+02  0.351223E+02 -0.333710E+02  0.324644E+02 -0.548394E+01-100000.000      0.000   -142.771     462
   463.00000 -0.311437E+02  0.351223E+02 -0.333544E+02  0.324644E+02 -0.548649E+01-100000.000      0.000   -142.897     463
   464.00000 -0.310903E+02  0.351223E+02 -0.333391E+02  0.324644E+02 -0.548903E+01-100000.000      0.000   -143.022     464
   465.00000 -0.312523E+02  0.351223E+02 -0.335011E+02  0.324644E+02 -0.549155E+01   -385.321      0.000   -143.147     465
   466.00000 -0.312259E+02  0.351223E+02 -0.334747E+02  0.324644E+02 -0.549405E+01  -1044.463      0.000   -143.271     466
   467.00000 -0.312015E+02  0.351223E+02 -0.334503E+02  0.324644E+02 -0.549653E+01  -2042.706      0.000   -143.394     467
   468.00000 -0.311779E+02  0.351223E+02 -0.334267E+02  0.324644E+02 -0.549898E+01  -3693.720      0.000   -143.517     468
   469.00000 -0.311533E+02  0.351223E+02 -0.334021E+02  0.324644E+02 -0.550142E+01  -6132.131      0.000   -143.638     469
   470.00000 -0.311299E+02  0.351223E+02 -0.333787E+02  0.324644E+02 -0.550383E+01  -9309.289      0.000   -143.759     470
   471.00000 -0.313009E+02  0.351223E+02 -0.335497E+02  0.324644E+02 -0.550624E+01   -263.218      0.000   -143.879     471
   472.00000 -0.312691E+02  0.351223E+02 -0.335179E+02  0.324644E+02 -0.550862E+01   -679.366      0.000   -143.999     472
   473.00000 -0.312191E+02  0.351223E+02 -0.334679E+02  0.324644E+02 -0.551098E+01  -1853.172      0.000   -144.117     473
   474.00000 -0.311532E+02  0.351223E+02 -0.334020E+02  0.324644E+02 -0.551333E+01  -7317.090      0.000   -144.235     474
   475.00000 -0.311033E+02  0.351223E+02 -0.333521E+02  0.324644E+02 -0.551565E+01 -17072.848      0.000   -144.352     475
   476.00000 -0.312368E+02  0.351223E+02 -0.334856E+02  0.324644E+02 -0.551796E+01   -348.323      0.000   -144.469     476
   477.00000 -0.312028E+02  0.351223E+02 -0.334516E+02  0.324644E+02 -0.552024E+01   -935.063      0.000   -144.585     477
   478.00000 -0.312455E+02  0.351223E+02 -0.334943E+02  0.324644E+02 -0.552252E+01   -437.775      0.000   -144.700     478
   479.00000 -0.311839E+02  0.351223E+02 -0.334327E+02  0.324644E+02 -0.552477E+01  -1764.051      0.000   -144.814     479
   480.00000 -0.311078E+02  0.351223E+02 -0.333566E+02  0.324644E+02 -0.552700E+01  -9195.162  -1085.409   -144.928     480
   481.00000 -0.310346E+02  0.351223E+02 -0.332834E+02  0.324644E+02 -0.552921E+01 -50255.727  -1862.784   -145.042     481
   482.00000 -0.309539E+02  0.351223E+02 -0.332327E+02  0.324644E+02 -0.553141E+01-100000.000  -2856.633   -145.155     482
   483.00000 -0.308911E+02  0.351223E+02 -0.332080E+02  0.324644E+02 -0.553359E+01-100000.000  -3149.940   -145.267     483
   484.00000 -0.313048E+02  0.351223E+02 -0.336217E+02  0.324644E+02 -0.553575E+01   -118.244   -240.629   -145.379     484
   485.00000 -0.312431E+02  0.351223E+02 -0.335600E+02  0.324644E+02 -0.553790E+01   -451.096   -343.470   -145.490     485
   486.00000 -0.313335E+02  0.351223E+02 -0.336504E+02  0.324644E+02 -0.554002E+01   -193.925   -272.327   -145.600     486
   487.00000 -0.312589E+02  0.351223E+02 -0.335758E+02  0.324644E+02 -0.554213E+01   -592.960   -365.108   -145.710     487
   488.00000 -0.311961E+02  0.351223E+02 -0.335130E+02  0.324644E+02 -0.554422E+01  -1176.019   -486.100   -145.820     488
   489.00000 -0.310998E+02  0.351223E+02 -0.334167E+02  0.324644E+02 -0.554629E+01  -5177.338   -763.355   -145.929     489
   490.00000 -0.310023E+02  0.351223E+02 -0.333192E+02  0.324644E+02 -0.554834E+01 -28093.797  -1382.916   -146.037     490
   491.00000 -0.311090E+02  0.351223E+02 -0.334259E+02  0.324644E+02 -0.555038E+01   -457.516   -989.494   -146.145     491
   492.00000 -0.310261E+02  0.351223E+02 -0.333430E+02  0.324644E+02 -0.555240E+01  -4460.057   -968.094   -146.252     492
   493.00000 -0.309461E+02  0.351223E+02 -0.332630E+02  0.324644E+02 -0.555441E+01 -33198.285  -1565.384   -146.359     493
   494.00000 -0.308686E+02  0.351223E+02 -0.332010E+02  0.324644E+02 -0.555639E+01-100000.000  -2574.767   -146.466     494
   495.00000 -0.307785E+02  0.351223E+02 -0.331712E+02  0.324644E+02 -0.555836E+01-100000.000  -2985.743   -146.572     495
   496.00000 -0.307032E+02  0.351223E+02 -0.331479E+02  0.324644E+02 -0.556031E+01-100000.000  -3238.829   -146.678     496
   497.00000 -0.310009E+02  0.351223E+02 -0.334456E+02  0.324644E+02 -0.556225E+01   -181.742   -448.404   -146.784     497
   498.00000 -0.309281E+02  0.351223E+02 -0.333728E+02  0.324644E+02 -0.556417E+01   -924.754   -520.280   -146.889     498
   499.00000 -0.308441E+02  0.351223E+02 -0.332888E+02  0.324644E+02 -0.556607E+01  -4477.924   -801.472   -146.994     499
   500.00000 -0.307457E+02  0.351223E+02 -0.331904E+02  0.324644E+02 -0.556795E+01 -42891.152  -1617.386   -147.099     500
   501.00000 -0.308265E+02  0.351223E+02 -0.332712E+02  0.324644E+02 -0.556982E+01   -781.201  -1372.530   -147.203     501
   502.00000 -0.307368E+02  0.351344E+02 -0.331815E+02  0.324664E+02 -0.557168E+01 -17741.895  -1499.062   -147.307     502
   503.00000 -0.306611E+02  0.351562E+02 -0.331160E+02  0.324675E+02 -0.557351E+01-100000.000  -2621.633   -147.410     503
   504.00000 -0.309895E+02  0.351763E+02 -0.334444E+02  0.324748E+02 -0.557533E+01   -155.095   -355.687   -147.513     504
   505.00000 -0.311134E+02  0.351884E+02 -0.335683E+02  0.324865E+02 -0.557714E+01   -160.466   -234.052   -147.616     505
   506.00000 -0.310809E+02  0.352059E+02 -0.335358E+02  0.325032E+02 -0.557892E+01   -339.853   -318.532   -147.719     506
   507.00000 -0.310406E+02  0.352340E+02 -0.334955E+02  0.325281E+02 -0.558069E+01   -589.946   -438.319   -147.821     507
   508.00000 -0.309968E+02  0.352798E+02 -0.334517E+02  0.325617E+02 -0.558244E+01  -1198.602   -627.544   -147.923     508
   509.00000 -0.309672E+02  0.353278E+02 -0.334221E+02  0.325833E+02 -0.558417E+01  -2007.340   -855.500   -148.025     509
   510.00000 -0.325952E+02  0.353897E+02 -0.350501E+02  0.326418E+02 -0.558590E+01    -15.948    -21.024   -148.126     510
   511.00000 -0.325841E+02  0.354706E+02 -0.350390E+02  0.327227E+02 -0.558760E+01    -82.010    -82.174   -148.228     511
   512.00000 -0.342341E+02  0.355669E+02 -0.366890E+02  0.328190E+02 -0.558929E+01    -10.752    -14.782   -148.329     512
   513.00000 -0.358841E+02  0.356374E+02 -0.383390E+02  0.328896E+02 -0.559097E+01     -8.992    -11.723   -148.430     513
   514.00000 -0.358841E+02  0.356958E+02 -0.383390E+02  0.329480E+02 -0.559262E+01    -50.792    -49.673   -148.531     514
   515.00000 -0.377341E+02  0.357537E+02 -0.401890E+02  0.330059E+02 -0.559427E+01     -7.198    -12.089   -148.631     515
   516.00000 -0.393841E+02  0.358636E+02 -0.418390E+02  0.331158E+02 -0.559589E+01     -7.827    -13.541   -148.731     516
   517.00000 -0.393841E+02  0.359711E+02 -0.418390E+02  0.332233E+02 -0.559750E+01    -44.646    -43.256   -148.831     517
   518.00000 -0.393841E+02  0.361061E+02 -0.418390E+02  0.333582E+02 -0.559909E+01    -63.138    -59.668   -148.931     518
   519.00000 -0.393841E+02  0.362323E+02 -0.418390E+02  0.334843E+02 -0.560067E+01    -77.572    -71.235   -149.030     519
   520.00000 -0.396841E+02  0.363772E+02 -0.421390E+02  0.336291E+02 -0.560223E+01    -46.211    -68.715   -149.129     520
   521.00000 -0.396841E+02  0.365394E+02 -0.421390E+02  0.337912E+02 -0.560377E+01    -78.035    -78.885   -149.228     521
   522.00000 -0.396841E+02  0.367059E+02 -0.421390E+02  0.339575E+02 -0.560530E+01    -94.487    -88.468   -149.327     522
   523.00000 -0.396841E+02  0.368774E+02 -0.421390E+02  0.341287E+02 -0.560681E+01   -109.365    -97.246   -149.425     523
   524.00000 -0.396841E+02  0.370539E+02 -0.421390E+02  0.343047E+02 -0.560830E+01   -121.664   -104.785   -149.524     524
   525.00000 -0.396841E+02  0.373225E+02 -0.421390E+02  0.345724E+02 -0.560978E+01   -134.976   -112.114   -149.621     525
   526.00000 -0.396841E+02  0.376027E+02 -0.421390E+02  0.348513E+02 -0.561124E+01   -151.904   -122.582   -149.717     526
   527.00000 -0.396841E+02  0.378606E+02 -0.421390E+02  0.351076E+02 -0.561269E+01   -173.327   -133.340   -149.809     527
   528.00000 -0.396841E+02  0.381254E+02 -0.421390E+02  0.353702E+02 -0.561412E+01   -190.784   -142.393   -149.895     528
   529.00000 -0.396841E+02  0.383923E+02 -0.421390E+02  0.356343E+02 -0.561554E+01   -213.855   -153.611   -149.971     529
   530.00000 -0.396841E+02  0.386005E+02 -0.421390E+02  0.358396E+02 -0.561695E+01   -233.977   -164.615   -150.032     530
   531.00000 -0.396841E+02  0.389090E+02 -0.421390E+02  0.361432E+02 -0.561835E+01   -254.066   -172.924   -150.068     531
   532.00000 -0.396841E+02  0.392543E+02 -0.421390E+02  0.364809E+02 -0.561976E+01   -281.669   -187.268   -150.076     532
   533.00000 -0.396841E+02  0.396554E+02 -0.421390E+02  0.368696E+02 -0.562117E+01   -316.680   -207.074   -150.023     533
   534.00000 -0.423741E+02  0.400183E+02 -0.448290E+02  0.372263E+02 -0.562259E+01     -4.545   -137.457   -149.953     534
   535.00000 -0.442041E+02  0.402744E+02 -0.466590E+02  0.374815E+02 -0.562403E+01     -7.308    -93.992   -149.809     535
   536.00000 -0.459541E+02  0.404081E+02 -0.484090E+02  0.376151E+02 -0.562550E+01     -6.935    -61.885   -149.565     536
   537.00000 -0.477041E+02  0.408135E+02 -0.501590E+02  0.380204E+02 -0.562703E+01     -6.842    -38.906   -149.196     537
   538.00000 -0.493541E+02  0.413235E+02 -0.518090E+02  0.385304E+02 -0.562863E+01     -7.453    -29.680   -148.668     538
   539.00000 -0.493541E+02  0.418548E+02 -0.518090E+02  0.390616E+02 -0.563034E+01    -42.828    -42.295   -147.952     539
   540.00000 -0.513141E+02  0.422085E+02 -0.537690E+02  0.394153E+02 -0.563217E+01     -5.837    -30.913   -147.064     540
   541.00000 -0.529641E+02  0.426334E+02 -0.554190E+02  0.398402E+02 -0.563417E+01     -7.274    -24.330   -145.957     541
   542.00000 -0.529641E+02  0.431213E+02 -0.554190E+02  0.403280E+02 -0.563639E+01    -41.576    -37.416   -144.639     542
   543.00000 -0.529641E+02  0.436681E+02 -0.554190E+02  0.408747E+02 -0.563885E+01    -59.842    -50.100   -143.113     543
   544.00000 -0.529641E+02  0.441432E+02 -0.554190E+02  0.413495E+02 -0.564160E+01    -76.643    -61.989   -141.349     544
   545.00000 -0.529641E+02  0.447591E+02 -0.554190E+02  0.419648E+02 -0.564482E+01    -92.664    -73.036   -138.813     545
   546.00000 -0.529641E+02  0.452943E+02 -0.554190E+02  0.424990E+02 -0.564876E+01   -114.071    -87.137   -134.363     546
   547.00000 -0.529641E+02  0.458729E+02 -0.554190E+02  0.430758E+02 -0.565405E+01   -136.661   -100.766   -125.487     547
   548.00000 -0.532641E+02  0.464417E+02 -0.557190E+02  0.436426E+02 -0.566152E+01    -64.886   -109.398   -116.559     548
   549.00000 -0.535441E+02  0.466107E+02 -0.559990E+02  0.438110E+02 -0.567946E+01    -55.613   -109.832   -105.899     549
   550.00000 -0.538241E+02  0.470749E+02 -0.562790E+02  0.442737E+02 -0.571611E+01    -51.872   -111.208    -94.278     550
   551.00000 -0.538241E+02  0.475808E+02 -0.562790E+02  0.447775E+02 -0.579042E+01    -92.697   -122.484    -89.012     551
   552.00000 -0.538241E+02  0.481185E+02 -0.562790E+02  0.453119E+02 -0.589110E+01   -123.856   -137.896    -86.046     552
   553.00000 -0.546341E+02  0.486315E+02 -0.570890E+02  0.458212E+02 -0.600491E+01    -28.655   -136.179    -84.151     553
   554.00000 -0.548141E+02  0.492702E+02 -0.572689E+02  0.464552E+02 -0.612894E+01    -57.054   -146.300    -83.197     554
   555.00000 -0.551741E+02  0.498367E+02 -0.576289E+02  0.470167E+02 -0.625762E+01    -46.208   -154.273    -82.806     555
   556.00000 -0.551741E+02  0.503844E+02 -0.576289E+02  0.475584E+02 -0.638749E+01    -94.286   -169.171    -82.804     556
   557.00000 -0.551741E+02  0.509625E+02 -0.576289E+02  0.481272E+02 -0.651585E+01   -129.724   -189.955    -83.063     557
   558.00000 -0.551741E+02  0.515812E+02 -0.576289E+02  0.487301E+02 -0.664137E+01   -169.378   -218.398    -83.470     558
   559.00000 -0.551741E+02  0.521912E+02 -0.576289E+02  0.493092E+02 -0.676195E+01   -214.409   -255.328    -83.994     559
   560.00000 -0.551741E+02  0.528081E+02 -0.576289E+02  0.498703E+02 -0.687818E+01   -268.944   -301.440    -84.579     560
   561.00000 -0.568241E+02  0.534364E+02 -0.592789E+02  0.504370E+02 -0.699202E+01    -14.143   -283.927    -85.193     561
   562.00000 -0.584741E+02  0.540849E+02 -0.609289E+02  0.510367E+02 -0.710101E+01    -10.411   -233.355    -85.842     562
   563.00000 -0.601241E+02  0.547159E+02 -0.625789E+02  0.516445E+02 -0.720494E+01     -9.464   -181.593    -86.509     563
   564.00000 -0.622341E+02  0.553309E+02 -0.646890E+02  0.522511E+02 -0.730382E+01     -5.808   -128.606    -87.182     564
   565.00000 -0.638841E+02  0.560091E+02 -0.663390E+02  0.529269E+02 -0.739758E+01     -8.300    -92.753    -87.851     565
   566.00000 -0.638841E+02  0.566080E+02 -0.663390E+02  0.535252E+02 -0.748606E+01    -49.260    -87.525    -88.511     566
   567.00000 -0.655341E+02  0.572343E+02 -0.679890E+02  0.541510E+02 -0.756989E+01     -8.976    -72.907    -89.157     567
   568.00000 -0.671841E+02  0.577877E+02 -0.696390E+02  0.547042E+02 -0.764862E+01     -8.111    -55.693    -89.784     568
   569.00000 -0.688341E+02  0.583458E+02 -0.712890E+02  0.552623E+02 -0.772244E+01     -7.885    -41.343    -90.385     569
   570.00000 -0.688341E+02  0.588802E+02 -0.712890E+02  0.557966E+02 -0.779183E+01    -44.207    -49.882    -90.960     570
   571.00000 -0.709141E+02  0.593125E+02 -0.733690E+02  0.562288E+02 -0.785755E+01     -5.495    -36.369    -91.506     571
   572.00000 -0.709141E+02  0.598585E+02 -0.733690E+02  0.567748E+02 -0.791906E+01    -45.017    -45.744    -92.007     572
   573.00000 -0.709141E+02  0.604198E+02 -0.733690E+02  0.573359E+02 -0.797690E+01    -65.071    -58.470    -92.436     573
   574.00000 -0.709141E+02  0.610021E+02 -0.733690E+02  0.579178E+02 -0.803197E+01    -84.359    -71.551    -92.728     574
   575.00000 -0.709141E+02  0.615902E+02 -0.733690E+02  0.585049E+02 -0.808672E+01   -104.341    -85.008    -92.759     575
